0,-175.216000
1,-187.064000
2,-32.184000
3,135.720000
4,74.508000
5,-10.198000
6,18.046000
7,-56.830000
8,-113.878000
9,-236.900000
10,-70.714000
11,-39.344000
12,122.554000
13,-121.398000
14,138.722000
15,208.106000
16,6.354000
17,-9.072000
18,148.940000
19,102.058000
20,104.516000
21,155.592000
22,-56.884000
23,-83.614000
24,86.300000
25,-20.380000
26,12.996000
27,14.988000
28,54.378000
29,-51.696000
30,225.860000
31,39.902000
32,-225.332000
33,-256.216000
34,11.254000
35,17.746000
36,82.780000
37,-127.098000
38,-379.932000
39,-209.334000
40,-23.898000
41,13.384000
42,-136.514000
43,-69.526000
44,-62.618000
45,-22.792000
46,-46.146000
47,-61.634000
48,-139.712000
49,52.364000
50,-2.496000
51,111.424000
52,44.236000
53,16.614000
54,103.818000
55,-214.524000
56,641.554000
57,-111.140000
58,-244.160000
59,-11.004000
60,-199.666000
61,-94.374000
62,-178.622000
63,-253.212000
