N = 10
32	12
64	10
128	13.666666666666666
256	10.333333333333334
512	12.666666666666666
1024	9.666666666666666
2048	9.666666666666666
4096	14.666666666666666
8192	10.333333333333334
16384	10.666666666666666
N = 8
32	10
64	7.666666666666667
128	2.3333333333333335
256	6
512	6.666666666666667
1024	5.666666666666667
2048	13
4096	7.666666666666667
8192	6.333333333333333
16384	2.6666666666666665
N = 32
32	17.666666666666668
64	17
128	16.333333333333332
256	19
512	14
1024	21
2048	18.333333333333332
4096	11
8192	12.666666666666666
16384	15.333333333333334
N = 128  ~~~
32	20.666666666666668
64	17.333333333333332
128	21.666666666666668
256	19
512	20.666666666666668
1024	20.666666666666668
2048	14.333333333333334
4096	21.666666666666668
8192	21
16384	21.333333333333332

N = 128
32	22.666666666666668
64	21.666666666666668
128	23
